Date_id,Date_day
1,2012-12-10
2,2012-12-11
3,2012-12-12
4,2012-12-13
5,2012-12-14
6,2012-12-17
7,2012-12-18
8,2012-12-19
9,2012-12-20
10,2012-12-21
11,2012-12-24
12,2012-12-26
13,2012-12-27
14,2012-12-28
15,2012-12-31
16,2013-01-02
17,2013-01-03
18,2013-01-04
19,2013-01-07
20,2013-01-08
21,2013-01-09
22,2013-01-10
23,2013-01-11
24,2013-01-14
25,2013-01-15
26,2013-01-16
27,2013-01-17
28,2013-01-18
29,2013-01-22
30,2013-01-23
31,2013-01-24
32,2013-01-25
33,2013-01-28
34,2013-01-29
35,2013-01-30
36,2013-01-31
37,2013-02-01
38,2013-02-04
39,2013-02-05
40,2013-02-06
41,2013-02-07
42,2013-02-08
43,2013-02-11
44,2013-02-12
45,2013-02-13
46,2013-02-14
47,2013-02-15
48,2013-02-19
49,2013-02-20
50,2013-02-21
51,2013-02-22
52,2013-02-25
53,2013-02-26
54,2013-02-27
55,2013-02-28
56,2013-03-01
57,2013-03-04
58,2013-03-05
59,2013-03-06
60,2013-03-07
61,2013-03-08
62,2013-03-11
63,2013-03-12
64,2013-03-13
65,2013-03-14
66,2013-03-15
67,2013-03-18
68,2013-03-19
69,2013-03-20
70,2013-03-21
71,2013-03-22
72,2013-03-25
73,2013-03-26
74,2013-03-27
75,2013-03-28
76,2013-04-01
77,2013-04-02
78,2013-04-03
79,2013-04-04
80,2013-04-05
81,2013-04-08
82,2013-04-09
83,2013-04-10
84,2013-04-11
85,2013-04-12
86,2013-04-15
87,2013-04-16
88,2013-04-17
89,2013-04-18
90,2013-04-19
91,2013-04-22
92,2013-04-23
93,2013-04-24
94,2013-04-25
95,2013-04-26
96,2013-04-29
97,2013-04-30
98,2013-05-01
99,2013-05-02
100,2013-05-03
101,2013-05-06
102,2013-05-07
103,2013-05-08
104,2013-05-09
105,2013-05-10
106,2013-05-13
107,2013-05-14
108,2013-05-15
109,2013-05-16
110,2013-05-17
111,2013-05-20
112,2013-05-21
113,2013-05-22
114,2013-05-23
115,2013-05-24
116,2013-05-28
117,2013-05-29
118,2013-05-30
119,2013-05-31
120,2013-06-03
121,2013-06-04
122,2013-06-05
123,2013-06-06
124,2013-06-07
125,2013-06-10
